Date,Open,High,Low,Close,Volume,AdjClose
4/8/1987,22780,22979,22761,22913,0,22913
4/9/1987,22916,23225,22851,22922,0,22922
4/10/1987,22909,23222,22602,23217,0,23217
4/13/1987,23222,23271,22651,22920,0,22920
4/14/1987,22919,23528,22710,23524,0,23524
4/15/1987,23523,23659,23177,23511,0,23511
4/16/1987,23533,23869,23533,23868,0,23868
4/17/1987,23874,23990,23864,23938,0,23938
4/20/1987,23940,24096,23895,23895,0,23895
4/21/1987,23886,24027,23762,23886,0,23886
4/22/1987,23900,24124,23900,24098,0,24098
4/23/1987,24092,24256,23951,24025,0,24025
4/24/1987,24019,24210,24006,24006,0,24006
4/27/1987,23915,23955,23072,23072,0,23072
4/28/1987,23073,23121,22006,22890,0,22890
4/30/1987,22893,23276,22893,23275,0,23275
5/1/1987,23294,23688,23294,23681,0,23681
5/6/1987,24015,24161,23786,23919,0,23919
5/7/1987,23941,24218,23941,24208,0,24208
5/8/1987,24232,24611,24232,24589,0,24589
5/11/1987,24605,24743,24582,24608,0,24608
5/12/1987,24610,24624,24523,24536,0,24536
5/13/1987,24527,24608,24363,24363,0,24363
5/14/1987,24356,24683,24356,24651,0,24651
5/15/1987,24660,24843,24596,24729,0,24729
5/18/1987,24729,24729,24298,24299,0,24299
5/19/1987,24295,24345,24078,24078,0,24078
5/20/1987,24080,24080,23368,23420,0,23420
5/21/1987,23440,23777,23440,23754,0,23754
5/22/1987,23785,24172,23785,24157,0,24157
5/25/1987,24539,24712,24484,24583,0,24583
5/26/1987,24583,24659,24536,24581,0,24581
5/27/1987,24600,24600,24493,24540,0,24540
5/28/1987,24549,24609,24428,24434,0,24434
5/29/1987,24453,24798,24453,24772,0,24772
6/1/1987,24905,25097,24905,24993,0,24993
6/2/1987,25001,25052,24862,24903,0,24903
6/3/1987,24895,25050,24829,25049,0,25049
6/4/1987,25069,25446,25069,25366,0,25366
6/5/1987,25390,25537,25261,25271,0,25271
6/8/1987,25381,25529,25370,25524,0,25524
6/9/1987,25551,25667,25371,25380,0,25380
6/10/1987,25376,25745,25376,25739,0,25739
6/11/1987,25742,25933,25742,25891,0,25891
6/12/1987,25909,26000,25892,25894,0,25894
6/15/1987,25900,25986,25737,25756,0,25756
6/16/1987,25772,25874,25735,25739,0,25739
6/17/1987,25772,25939,25772,25929,0,25929
6/18/1987,25909,25920,25429,25751,0,25751
6/19/1987,25760,25791,25195,25288,0,25288
6/22/1987,25289,25294,24639,24640,0,24640
6/23/1987,24625,24980,24619,24795,0,24795
6/24/1987,24811,24999,24807,24893,0,24893
6/25/1987,24901,25135,24901,25031,0,25031
6/26/1987,25047,25311,25010,25050,0,25050
6/29/1987,24911,24950,24411,24509,0,24509
6/30/1987,24489,24489,23898,24176,0,24176
7/1/1987,24174,24288,23733,24252,0,24252
7/2/1987,24268,24668,24257,24636,0,24636
7/3/1987,24659,24861,24424,24465,0,24465
7/6/1987,24159,24159,23790,23871,0,23871
7/7/1987,23865,23923,23488,23816,0,23816
7/8/1987,23841,24116,23434,23472,0,23472
7/9/1987,23469,23810,23392,23756,0,23756
7/10/1987,23794,24153,23794,24103,0,24103
7/13/1987,24123,24237,24042,24118,0,24118
7/14/1987,24102,24111,23927,23932,0,23932
7/15/1987,23927,24021,23870,23970,0,23970
7/16/1987,23991,24113,23973,24004,0,24004
7/17/1987,24033,24127,23965,23983,0,23983
7/20/1987,23817,23981,23327,23329,0,23329
7/21/1987,23306,23366,22925,23078,0,23078
